164790293	90302691
293634142	131999455
265584815	283751411
271483064	271241574
277676380	277183688
286636609	123170010
130711947	55460169
62128536	272371905
224657842	74611492
17956954	69706331
268337716	268341857
262963296	68290755
22833935	18289658
186391032	187872150
285442804	283759809
290903512	285364417
102466337	146487467	146489739	145794908	102326616	147496209	161685243	102340836	102471310
221643624	253604117
192316299	20565476
180257770	46449856	297191467	297733845
283677779	22026671
238781497	149712786
291832947	253333342
156848896	277950113
136571761	293850263
97092785	247166045	106891895
169772318	272252799
212806534	295310353
144213292	299086998	247630268
137823540	141721010
271651035	159352138	154279509
123438457	22258796
191399297	83997865	85499846
242288031	221101880
132279929	27376493
92178045	259635899	120059018	129130495	113789309	88826418	61997654	86219843	61996971
293668689	231959113
236980062	107712549
134875037	20485482
199657418	176118608
279808104	290825183
265947344	67157048
250972418	239018592
271747331	260102125
181176603	26286834
115116351	78380070	19266805
171018581	250347095
243665250	106436455
126388656	120865928
130870355	37273978
240093574	133958135	191392535	201685969
271078279	15753176
159615535	241821529
91064892	299222226
172034640	140481695
257722998	290742465	290893972
184191672	172829249
265456405	218526141
196348779	16799876
83495803	158539815
97225655	21414692
264571867	27770923
296291342	46408722
151555179	66777642
284920942	284469755	281420516
279284875	269117265
35884219	284617130
235049881	288751232	278523614	250557755	207439182	233468660	233871554
205720927	180726111
28904807	21812003
102444282	31496437
68292093	146174803	138065075
109710946	214317119
18452164	17259796
244811133	291464775
287772568	283255992
292032452	89841809	97591079	89839783
37943092	228892286
136089612	292085036
41127978	183825517
198217801	255765034	260283683
37230613	236160373
224202922	193719440
244912357	291888161
102797543	100947934
275164793	243056354
245535040	259368450
278958449	280172500
255431042	181803184
205394391	245551536
119444049	50556915
92410476	233332265
238490252	267557625	188962529
221496088	225670309
174920515	56774282
76123442	285704954	290247562	289608574	288002837	88715817	272350739
236524415	259412129
226569708	41627625
245498707	124193391
148662582	197764355
160502853	46922379
281801312	203510976
222827912	167193928
88015767	27093788
272046325	286873028	286506235
57251318	45246239
48426722	274746820
273520386	269983639
77132181	26344093
95033102	73658386
86972233	123311971
29300762	21704928
40015906	128483107
257395698	257431911	257392028
281352308	276950193	288746305
104896877	250620258
124600418	275683345	269818051	195350098
286824724	286965755
17570129	20544061
276732271	39078737
278637741	80111889	156587857	89810506	228430137	228424929	276516733
289135807	290780531
65969002	116105951
184040851	112900134
135595192	131649511
194747523	233562964
211590429	187021408
240557342	198651940
246521131	248665546
47553866	59226901
155853391	20588772
189898338	218295954
207658749	95484145
94150411	80389721
232244530	180768411
14757875	166616864
255332062	243048389	257038198	245713156	18593849
171122698	44330883
216932372	218021951
25010218	82821034
224075905	71771438
112992462	112890242
37875750	151198722	39758433
271622464	161693760
39821724	281283705
269361609	55079795
95265268	101804892
250618359	272000295
246161937	185499599
139469399	275112954
95134351	20344996
119251740	272928129
256451362	262922498
258253777	269924850
176530424	234276527
97788928	287957501	187254514	27735840	28146477	37336592
242426890	235646669
280863762	295252950
201139421	215472032
170119171	287787457
117712218	166560707
224435957	37610120
247526957	67197576
128394857	159001536
81503863	29976858
253306594	89735245
276277007	288052321
261891866	251652369
284272422	240011450
61581112	61709699	62054489
281159510	275147188
260679536	99155725
185804714	221532963	135017130
79439787	48846049
14755937	90064638
244754597	242764346
286042343	257402795
67676441	221639152
284029341	284232111
236005869	22735729	38698625	215866424
108374514	142926019
170732080	268473801
191458792	145382517	97725000	188462685
263367258	236026339
128068361	187555498
